PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								A hybrid representation-based simile component extraction	NEURAL COMPUTING & APPLICATIONS										Simile component; Concept; Character		Simile, a special type of metaphor, can help people to express their ideas more clearly. Simile component extraction is to extract tenors and vehicles from sentences. This task has a realistic significance since it is useful for building cognitive knowledge base. With the development of deep neural networks, researchers begin to apply neural models to component extraction. Simile components should be in cross-domain. According to our observations, words in cross-domain always have different concepts. Thus, concept is important when identifying whether two words are simile components or not. However, existing models do not integrate concept into their models. It is difficult for these models to identify the concept of a word. What's more, corpus about simile component extraction is limited. There are a number of rare words or unseen words, and the representations of these words are always not proper enough. Exiting models can hardly extract simile components accurately when there are low-frequency words in sentences. To solve these problems, we propose a hybrid representation-based component extraction (HRCE) model. Each word in HRCE is represented in three different levels: word level, concept level and character level. Concept representations (representations in concept level) can help HRCE to identify the words in cross-domain more accurately. Moreover, with the help of character representations (representations in character levels), HRCE can represent the meaning of a word more properly since words are consisted of characters and these characters can partly represent the meaning of words. We conduct experiments to compare the performance between HRCE and existing models. The experiment results show that HRCE significantly outperforms current models.																	0941-0643	1433-3058				SEP	2020	32	18			SI		14655	14665		10.1007/s00521-020-04818-6		MAR 2020											
J								Modeling of UCS value of stabilized pond ashes using adaptive neuro-fuzzy inference system and artificial neural network	SOFT COMPUTING										Unconfined compressive strength; Adaptive neuro-fuzzy inference system; Artificial neural network	UNIAXIAL COMPRESSIVE STRENGTH; BEARING RATIO; ANFIS MODEL; FLY-ASH; PREDICTION; PERFORMANCE; PRESSURE; CAPACITY; SAFETY; SOILS	This paper investigates the capability of adaptive neuro-fuzzy inference system (ANFIS) and artificial neural network (ANN) modeling approach to predict the unconfined compressive strength (UCS) of stabilized pond ashes with lime alone and in combination with lime sludge. Out of 170 data set, a total of 119 data were randomly selected for training, whereas remaining 51 were used for testing the model. Four membership's functions (MFs) such as Gaussian, generalized bell-shaped, triangular, and trapezoidal were used with ANFIS model. Statistical parameters were used to compare the performance of four MF-based ANFIS and ANN models. A comparison of results suggests that Triangular MF-based ANFIS model exhibit better predictive performance with higher CC = 0.980 and lower MSE = 3028.515 and RMSE = 55.032 than other MF-based ANFIS and ANN model. The results of single-factor analysis of variance indicate that there is an insignificant difference between measured and predicted values of UCS using different models. Further, results of sensitivity analysis depict that the curing period, lime sludge, and lime are the most important parameters which affect the performance of Triangular MF-based ANFIS in predicting the UCS of stabilized pond ashes. Thus, the Triangular MF-based ANFIS model could be a useful tool in predicting the UCS value of stabilized pond ashes because of its adequacy in handling uncertainties in the test results with accuracy.																	1432-7643	1433-7479				OCT	2020	24	19					14561	14575		10.1007/s00500-020-04806-x		MAR 2020											
J								An intelligent computer-aided approach for target protein prediction in infectious diseases	SOFT COMPUTING										Graph colouring algorithm; Protein-protein interaction; Essential protein; Deep Learning	SECONDARY STRUCTURE PREDICTION; FEATURES	Essential proteins are the most important constituents for all kinds of organism. The research on predicting essential target proteins contributes significantly to drug development, disease diagnosis, and treatment. Numerous computational- and experimental-based approaches have been used in the recent past for essential protein prediction. However, it is highly challenging to bring remarkable improvement in the accuracy of the essential target proteins. In this method, we introduce an intelligent computational technique known as graph colouring-deep neural network which automatically extracts the target proteins by combining a graph-theoretic approach called graph colouring and neural network. In this approach, the protein-protein interaction network (PPI) of homosapiens are extracted from string DB (data base) and then applied to the graph colouring algorithm. Initially, each protein in the network is assigned a colour by checking the connectivity with the neighbourhood proteins. Secondly, the proteins with primary and secondary colours are extracted from the PPI. Finally, a deep neural network-based approach is used to automatically extract the essential target proteins depending on the physicochemical features of the proteins. To assess the performance of the proposed model, the experiment has been carried out in four different diseases such as cancer, diabetes, asthma and human papilloma virus viral infection. The proposed approach shows a remarkable performance than the traditional approaches in views of various metrics such as accuracy, precision, recall, andF-measure.																	1432-7643	1433-7479				OCT	2020	24	19					14707	14720		10.1007/s00500-020-04815-w		MAR 2020											
J								ROI-based feature learning for efficient true positive prediction using convolutional neural network for lung cancer diagnosis	NEURAL COMPUTING & APPLICATIONS										Convolutional neural network; Deep structured algorithm; Batch normalization; ReLu; Max-pooling; Softmax; Benign and malignant; Morphological features	PULMONARY NODULE DETECTION; COMPUTER-AIDED DIAGNOSIS; CT IMAGES; CLASSIFICATION; SYSTEM; ALGORITHMS; REDUCTION	Convolutional neural network (CNN) is one of the deep structured algorithms widely applied to analyze the ability to visualize and extract the hidden texture features of image datasets. The study aims to automatically extract the self-learned features using an end-to-end learning CNN and compares the results with the conventional state-of-art and traditional computer-aided diagnosis system's performance. The architecture consists of eight layers: one input layer, three convolutional layers and three sub-sampling layers intercepted with batch normalization, ReLu and max-pooling for salient feature extraction, and one fully connected layer that uses softmax function connected to 3 neurons as output layer, classifying an input image into one of three classes categorized as nodules >= 3 mm as benign (low malignancy nodules), malignant (high malignancy nodules), and nodules < 3 mm and non-nodules >= 3 mm combined as non-cancerous. For the input layer, lung nodule CT images are acquired from the Lung Image Database Consortium public repository having 1018 cases. Images are pre-processed to uniquely segment the nodule region of interest (NROI) in correspondence to four radiologists' annotations and markings describing the coordinates and ground-truth values. A two-dimensional set of re-sampled images of size 52 x 52 pixels with random translation, rotation, and scaling corresponding to the NROI are generated as input samples. In addition, generative adversarial networks (GANs) are employed to generate additional images with similar characteristics as pulmonary nodules. CNNs are trained using images generated by GAN and are fine-tuned with actual input samples to differentiate and classify the lung nodules based on the classification strategy. The pre-trained and fine-tuned process upon the trained network's architecture results in aggregate probability scores for nodule detection reducing false positives. A total of 5188 images with an augmented image data store are used to enhance the performance of the network in the study generating high sensitivity scores with good true positives. Our proposed CNN achieved the classification accuracy of 93.9%, an average specificity of 93%, and an average sensitivity of 93.4% with reduced false positives and evaluated the area under the receiver operating characteristic curve with the highest observed value of 0.934 using the GAN generated images.																	0941-0643	1433-3058				OCT	2020	32	20			SI		15989	16009		10.1007/s00521-020-04787-w		MAR 2020											
J								A computational method based on Gustafson-Kessel fuzzy clustering for a novel islanding detection for grid connected devices and sensors	COMPUTATIONAL INTELLIGENCE										fuzzy clustering; Gustafson-Kessel; point of common coupling (PCC); total harmonic distortion (THD)	PREDICTION; SYSTEMS	Fuzzy Clustering-based (G-K) Gustafson-Kessel is used to create the fuzzy rule-based classifier in a grid connected photovoltaic (PV) system where it is tested using specific features in a grid connected PV inverter for detecting islanding condition. It is detected when harmonic content of voltages at the Point of Common Coupling and inverter increases beyond a threshold value. If islanding is not detected, distribution lines are rendered unsafe. The present study uses G-K fuzzy clustering to categorize islanding and nonislanding incidents. Two features based on Total Harmonic Distortion are extracted and used as inputs for the G-K fuzzy clustering classifier. The proposed technique is tested using nonlinear loads and its performance is verified by simulation using MATLAB Simulink. A hardware test set-up is developed to validate the proposed antiislanding technique and the results obtained are discussed.																	0824-7935	1467-8640															10.1111/coin.12311		MAR 2020											
J								Real-time filtering on parallel SIMD architectures for automated quality inspection	JOURNAL OF REAL-TIME IMAGE PROCESSING										Surface metrology; Real-time filtering; Laser profiling	3-D SENSORS; SURFACE; CALIBRATION	Surface metrology in automated quality inspection is a field, among many others, affected by noise and thus requiring filtering. In surface metrology, filtering is required to remove undesired information from data in order to extract surface features and relevant properties necessary for quality control. Moreover, filtering requires immediate results, while the product is being manufactured. This way, quick correcting actions can be directly applied to solve possible manufacturing issues. This work proposes different strategies to filter height maps in real-time acquired using laser profilers, the most widely used inspection method in industrial applications. Different models to apply the filtering operations are considered, particularly assessing different alternatives to store previous samples in memory, which are required for data filtering. FIFO, double FIFO, circular and double circular buffers are evaluated. Furthermore, CPU parallelism, SIMD instructions and cache-line friendly data structures are analyzed. The proposed methods are extremely efficient, capable of filtering laser profiles at extremely high acquisition rates. The proposed methods are designed for real-time surface metrology, but they are very likely to find potential applications in different areas. The filters are compared in terms of accuracy and speed, including other well-known filters such as the spline filter. Tests analyze execution time, including cache efficiency and filtering accuracy. Results with synthetic data and real data obtained from steel strips show excellent performance, providing accurate results at very high speeds.																	1861-8200	1861-8219															10.1007/s11554-020-00954-3		MAR 2020											
J								Respecializing swarms by forgetting reinforced thresholds	SWARM INTELLIGENCE										Threshold reinforcement; Emergent coordination; Decentralized division of labor; Specialization; Task allocation; Multiagent deployment	DIVISION-OF-LABOR; MULTIAGENT TASK ALLOCATION; ROBOCUP RESCUE; SPECIALIZATION; INFORMATION; SYSTEMS; HISTORY; ROBOTS; AGENTS	Response threshold reinforcement is a powerful model for decentralized task allocation and specialization in multiagent swarms. In dynamic environments, initial task assignments and specializations must be updated over time to meet changing system needs. The very nature of threshold reinforcement-based behavior can, however, hinder respecialization, limiting its usability in real-world applications. We propose a decentralized forgetting-based extension to response threshold reinforcement and show that it can improve the efficiency and stability of the resulting task assignments under changing system demands.																	1935-3812	1935-3820				SEP	2020	14	3					171	204		10.1007/s11721-020-00181-3		MAR 2020											
J								Comparison of recent optimization algorithms for design optimization of a cam-follower mechanism	KNOWLEDGE-BASED SYSTEMS										Algorithms; Metaheuristics; Optimization; Cam mechanism; Follower motion law; Grey wolf optimizer; Salp Swarm Optimizer; Moth-Flame optimizer; Multi verse optimizer; Ant lion optimizer	WATER CYCLE ALGORITHM; OPTIMUM DESIGN; PROFILE OPTIMIZATION; RESIDUAL VIBRATIONS; SLIDING VELOCITY; GREY WOLF; ANT LION; EVOLUTIONARY; SEARCH; MINIMIZATION	This study presents the application of seven recent meta-heuristic optimization algorithms to automate design of disk cam mechanism with translating roller follower regarding four follower motion laws. The algorithms are: salp swarm algorithm (SSA), moth-flame optimization (MFO), ant lion optimizer (ALO), multi verse optimizer (MVO), grey wolf optimizer (GWO), evaporation rate water cycle algorithm (ER-WCA), and mine blast algorithm (MBA). The optimum cam design problem is formulated with three objectives including the minimum congestion, maximum performance, and maximum strength resistance of the cam. Moreover, the effect of selecting follower motion law on the optimal design of mechanism is investigated. The computational results clearly indicate that the utilized algorithms are very competitive in structural design optimization, especially MBA, ER-WCA, MFO and GWO techniques. Among the four follower motion laws, the polynomial 3-4-5 degree is the best one. (C) 2019 Elsevier B.V. All rights reserved.																	0950-7051	1872-7409				MAR 5	2020	191								105237	10.1016/j.knosys.2019.105237													
J								Improving the Reliability of Deep Neural Networks in NLP: A Review	KNOWLEDGE-BASED SYSTEMS										Adversarial examples; Adversarial texts; Natural language processing	ADVERSARIAL ATTACKS	Deep learning models have achieved great success in solving a variety of natural language processing (NLP) problems. An ever-growing body of research, however, illustrates the vulnerability of deep neural networks (DNNs) to adversarial examples - inputs modified by introducing small perturbations to deliberately fool a target model into outputting incorrect results. The vulnerability to adversarial examples has become one of the main hurdles precluding neural network deployment into safety-critical environments. This paper discusses the contemporary usage of adversarial examples to foil DNNs and presents a comprehensive review of their use to improve the robustness of DNNs in NLP applications. In this paper, we summarize recent approaches for generating adversarial texts and propose a taxonomy to categorize them. We further review various types of defensive strategies against adversarial examples, explore their main challenges, and highlight some future research directions. (C) 2019 Elsevier B.V. All rights reserved.																	0950-7051	1872-7409				MAR 5	2020	191								105210	10.1016/j.knosys.2019.105210													
J								MoralStrength: Exploiting a moral lexicon and embedding similarity for moral foundations prediction	KNOWLEDGE-BASED SYSTEMS										Moral foundations; Moral values; Lexicon; Twitter data; Natural language processing; Machine learning	ATTITUDES; VALUES; WORDS	Moral rhetoric plays a fundamental role in how we perceive and interpret the information we receive, greatly influencing our decision-making process. Especially when it comes to controversial social and political issues, our opinions and attitudes are hardly ever based on evidence alone. The Moral Foundations Dictionary (MFD) was developed to operationalize moral values in the text. In this study, we present MoralStrength, a lexicon of approximately 1,000 lemmas, obtained as an extension of the Moral Foundations Dictionary, based on WordNet synsets. Moreover, for each lemma it provides with a crowdsourced numeric assessment of Moral Valence, indicating the strength with which a lemma is expressing the specific value. We evaluated the predictive potentials of this moral lexicon, defining three utilization approaches of increased complexity, ranging from lemmas' statistical properties to a deep learning approach of word embeddings based on semantic similarity. Logistic regression models trained on the features extracted from MoralStrength, significantly outperformed the current stateof-the-art, reaching an F1-score of 87.6% over the previous 62.4% (p-value < 0.01), and an average F1-Score of 86.25% over six different datasets. Such findings pave the way for further research, allowing for an in-depth understanding of moral narratives in text for a wide range of social issues. (C) 2019 Elsevier B.V. All rights reserved.																	0950-7051	1872-7409				MAR 5	2020	191								105184	10.1016/j.knosys.2019.105184													
