PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								Improved-GWO designed FO based type-II fuzzy controller for frequency awareness of an AC microgrid under plug in electric vehicle	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										Plug in electric vehicle (PEV); Improved-grey wolf optimization (I-GWO); Fractional order type-II fuzzy PID (FO-T2-FPID) controller; Microgrid (mg); Distributed generation (dg); fuel cell	AUTOMATIC-GENERATION CONTROL; ENERGY-STORAGE; OPERATION MANAGEMENT; FORECAST ENGINE; POWER-PLANT; ALGORITHM; WIND; SYSTEMS; TURBINE; MODELS	The paper proposes to use an improved Grey Wolf Optimization (GWO) optimized Fractional Order (FO) based type-II fuzzy controller for frequency regulation of an AC microgrid in presence of plug-in electric vehicles. The AC microgrid comprises various renewable-based energy sources such as wind turbine generator (WTG), photovoltaic cell (PV), microturbine (MT), aqua electrolyzer based fuel cell (FC) and diesel engine generator (DEG) along with various storage devices (ESD) like battery energy storage (BES), flywheel energy storage (FES) and electric vehicles (EV). The uncertain nature of solar, wind technologies and load demand makes the system more complicated and introduces the frequency oscillations in the system. It is highly needed to establish power balance among generation by designing an appropriate controller for frequency regulation. This paper proposes a robust fractional order type-II fuzzy PID (FO-T2-FPID) where the parameters of the FO-T2-FPID controllers are optimized by suggesting an improved GWO (I-GWO) algorithm. To demonstrate the capability of proposed I-GWO algorithm few comparative analyses have been performed over particle swarm optimization (PSO) and grey wolf optimization (GWO) algorithm. It is also observed that for the same FO-T2-FPID controller structure, the percentage improvement in the objective function (ITAE) under load uncertainty by I-GWO compared to GWO and PSO are 29.74% and 65.94% respectively. Finally, it is conferred that proposed I-GWO optimized FO-T2-FPID controller significantly improves microgrid dynamic performance under various operational conditions.																	1868-5137	1868-5145															10.1007/s12652-020-02260-z		JUN 2020											
J								Scattering coefficients and pathgain of a multilayer tissue structure using ABCD matrix method	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										Body area network; Multilayer structure; ABCD matrix; Scattering coefficients; Path loss	IN-BODY; ON-BODY; PROPAGATION; PERFORMANCE; ANTENNA	Numerical modeling plays an important role in the prediction of received signal strength inside the human body, in case of on-body to in-body radio wave propagation in a body area network (BAN). Since the structure of a human body is heterogeneous in nature, the Fresnel scattering coefficients could not be used to incorporate the attenuation properties of the multilayer tissue structure of the human body. This paper proposes the use of ABCD matrix method, which has been used in the analysis of multilayer dielectric slab structure, to determine the attenuation of the electro magnetic (EM) signal due to various in-body structures. In addition, variation of reflection and transmission coefficients of a four-layer body tissue structure with respect to the incident angle is presented and recommends suitable operating frequency in ultra-wide band (UWB) for BAN applications. The authors conducted measurements in body mimicking liquid phantom in UWB and included in support of their research outcome.																	1868-5137	1868-5145															10.1007/s12652-020-02244-z		JUN 2020											
J								Competitive swarm optimizer with mutated agents for finding optimal designs for nonlinear regression models with multiple interacting factors	MEMETIC COMPUTING										c-optimal design; D-optimal design; Large scale global optimization; Optimal exact design; Swarm optimization	GENETIC ALGORITHM; DIFFERENTIAL EVOLUTION; GLOBAL OPTIMIZATION; MEMETIC ALGORITHMS; SELECTION; TIME	This paper proposes a novel enhancement for competitive swarm optimizer (CSO) by mutating loser particles (agents) from the swarm to increase the swarm diversity and improve space exploration capability, namely competitive swarm optimizer with mutated agents (CSO-MA). The selection mechanism is carried out so that it does not retard the search if agents are exploring in promising areas. Simulation results show that CSO-MA has a better exploration-exploitation balance than CSO and generally outperforms CSO, which is one of the state-of-the-art metaheuristic algorithms for optimization. We show additionally that it also generally outperforms swarm based types of algorithms and an exemplary and popular non-swarm based algorithm called Cuckoo search, without requiring a lot more CPU time. We apply CSO-MA to find ac-optimal approximate design for a high-dimensional optimal design problem when other swarm algorithms were not able to. As applications, we use the CSO-MA to search various optimal designs for a series of high-dimensional statistical models. The proposed CSO-MA algorithm is a general-purpose optimizing tool and can be directly amended to find other types of optimal designs for nonlinear models, including optimal exact designs under a convex or non-convex criterion.																	1865-9284	1865-9292				SEP	2020	12	3					219	233		10.1007/s12293-020-00305-6		JUN 2020											
J								Multi-geometric Sparse Subspace Clustering	NEURAL PROCESSING LETTERS										Riemannian manifold; Sparse subspace clustering; Multi-geometric	STATISTICS; ALGORITHM	Recently, the Riemannian manifold has received special attention in unsupervised clustering since the real-world visual data usually resides on a special manifold where Euclidean geometry fails to capture. Although many clustering algorithms have been proposed, most of them use only a single geometric model to describe the data. In this paper, a multi-geometric subspace clustering model is proposed, and the subspace representation is learned together by constructing a shared affinity matrix of multi-order data. Experimental results on several different types of datasets show that the clustering performance of our proposed algorithm is better than most of subspaces algorithms.																	1370-4621	1573-773X				AUG	2020	52	1			SI		849	867		10.1007/s11063-020-10274-z		JUN 2020											
J								Semi-supervised Learning Algorithm Based on Linear Lie Group for Imbalanced Multi-class Classification	NEURAL PROCESSING LETTERS										Lie group; Lie group machine learning; Semi-supervised learning; Imbalanced data; Multi-class classification	FRAMEWORK; RECOGNITION; ENSEMBLE	In practical application, the data are imbalanced, it is difficult to find the balanced, rather skewed data is the common occurrence. This poses a severe challenge to the classification algorithm. At present, imbalanced data classification methods are mainly for binary classes designed, and it is difficult to extend them to multiple classes. In this study, we introduced Lie group machine learning and proposed a semi-supervised learning algorithm based on the linear Lie group. First, the sample set is represented by a matrix, the isomorphism(or homomorphism)-GL(n) linear Lie group of the corresponding learning system is found, and the labeled data are used to represent the object to be learned by linear Lie group. Then, according to the algebraic structure of the linear Lie group, it is marked by the group method. We performed experiments on 18 benchmark multi-class imbalanced datasets to demonstrate the performance of our proposed method and measured the performance of multi-class imbalanced data using four state-of-the-art learning algorithms (mean of accuracy, mean of f-measure, and mean of area under the curve). The experimental results demonstrate that the proposed method is effective and improves the performance.																	1370-4621	1573-773X				AUG	2020	52	1			SI		869	889		10.1007/s11063-020-10287-8		JUN 2020											
J								An efficient global representation constrained by Angular Triplet loss for vehicle re-identification	PATTERN ANALYSIS AND APPLICATIONS										Vehicle re-identification; Angular Triplet loss; Metric learning		Vehicle re-identification is becoming an increasingly important problem in modern intelligent transportation systems. Substantial results have been achieved with methods based on deep metric learning. Most of the previous works tend to design complicated neural network models or utilize extra information. In this work, we introduce a simple Angular Triplet loss on the basis of analysis of different feature representations constrained by softmax loss and triplet loss. A batch normalization layer with zero bias is adopted to pass through the embedded feature before loss calculation. Then, triplet loss is calculated in cosine metric space instead of Euclidean space. In this way, triplet loss can cooperate with softmax consistently. By unifying the metric space of these two types of losses, the proposed method achieves 77.3% and 95.9% in rank-1 on VehicleID and VeRi-776 datasets, respectively. With only global features utilized, the proposed model can be seen as an effective baseline for vehicle re-identification task.																	1433-7541	1433-755X															10.1007/s10044-020-00900-w		JUN 2020											
J								Nonparametric "anti-Bayesian" quantile-based pattern classification	PATTERN ANALYSIS AND APPLICATIONS										"Anti-Bayesian" classification; Nonparametric quantile-based method; Mixture model; Sample quantile; Kernel density estimation; Robust classification		Parametric and nonparametric pattern recognition have been studied for almost a century based on a Bayesian paradigm, which is, in turn, founded on the principles of Bayes theorem. It is well known that the accuracy of the Bayes classifier cannot be exceeded. Typically, this reduces to comparing the testing sample to mean or median of the respective distributions. Recently, Oommen and his co-authors have presented a pioneering and non-intuitive paradigm, namely that of achieving the classification by comparing the testing sample with another descriptor, which could also be quite distant from the mean. This paradigm has been termed as being "anti-Bayesian," and it essentially uses the quantiles of the distributions to achieve the pattern recognition. Such classifiers attain the optimal Bayesian accuracy for symmetric distributions even though they operate with a non-intuitive philosophy. While this paradigm has been applied in a number of domains (briefly explained in the body of this paper), its application for nonparametric domains has been limited. This paper explains, in detail, how such quantile-based classification can be extended to the nonparametric world, using both traditional and kernel-based strategies. The paper analyzes the methodology of such nonparametric schemes and their robustness. From a fundamental perspective, the paper utilizes the so-called large sample theory to derive strong asymptotic results that pertain to the equivalence between the parametric and nonparametric schemes for large samples. Apart from the new theoretical results, the paper also presents experimental results demonstrating their power. These results pertain to artificial data sets and also involve a real-life breast cancer data set obtained from the University Hospital Centre of Coimbra. The experimental results clearly confirm the power of the proposed "anti-Bayesian" procedure, especially when approached from a nonparametric perspective.																	1433-7541	1433-755X															10.1007/s10044-020-00903-7		JUN 2020											
J								Ternary tree-based structural twin support tensor machine for clustering	PATTERN ANALYSIS AND APPLICATIONS										Twin support tensor machine; Unsupervised learning; Tree-based clustering; Tensor space; Ternary decision structure	VECTOR MACHINE	Most of the real-life applications usually involve complex data, e.g., grayscale images, where information is distributed spatially in the form of two-dimensional matrices (elements of second-order tensor space). Traditional vector-based clustering models such ask-means and support vector clustering rely on low-dimensional features representations for identifying patterns and are prone to loss of useful information which is present in spatial structure of the data. To overcome this limitation, tensor-based clustering models can be utilized for identifying relevant patterns in matrix data as they take advantage of structural information present in multi-dimensional framework and reduce computational overheads as well. However, despite these numerous advantages, tensor clustering has still remained relatively unexplored research area. In this paper, we propose a novel clustering framework, termed as Ternary Tree-based Structural Least Squares Support Tensor Clustering (TT-SLSTWSTC), that builds a cluster model as a hierarchical ternary tree, where at each node non-ambiguous data are dealt separately from ambiguous data points using the proposed Ternary Structural Least Squares Support Tensor Machine (TS-LSTWSTM). The TS-LSTWSTM classifier considers the structural risk minimization of data alongside a symmetrical L2-norm loss function. Also, initialization framework based on tensork-means has been used in order to overcome the instability disseminated by random initialization. To validate the efficacy of the proposed framework, computational experiments have been performed on human activity recognition and image recognition problems. Experimental results show that our method is not only fast but yields significantly better generalization performance and is comparatively more robust in order to handle heteroscedastic noise and outliers when compared to related methods.																	1433-7541	1433-755X															10.1007/s10044-020-00902-8		JUN 2020											
J								A novel multi-attribute decision-making framework based on Z-RIM: an illustrative example of cloud service selection	SOFT COMPUTING										BWM; MDM; RIM; Z-numbers; Z-RIM	RANK REVERSAL; FUZZY TOPSIS; SUPPLY CHAIN; MODEL; MCDM; UNCERTAINTY; PERFORMANCE; STRATEGIES; ALGORITHM; NUMBERS	In the multi-attribute decision-making (MADM) problems, decision makers refer to the extreme attribute values in general when evaluating the alternatives. However, in the real world, the ideal solution may lie in somewhere between the extreme values. The recently proposed reference ideal method (RIM) is able to solve the problem rightly. This study aims at developing a novel MADM framework combining best-worst method (BWM), maximizing deviation method (MDM), and RIM under Z-number environment. In this framework, Z-number is used to depict the inherent uncertainty and reliability of information in the decision makers' judgments. And BWM and MDM are combined to determine the comprehensive attribute weights, in which BWM is utilized to obtain the subjective weights, while MDM is utilized to obtain the objective weights. In addition, Z-RIM is proposed by extending the traditional RIM under Z-number environment, which is employed for ranking the alternatives. An illustrative example of cloud service selection problem is implemented to illustrate the proposed framework. By comparison analysis, we demonstrate that Z-RIM can not only avoid rank reversal problem, but also generate reasonable results during the MADM processes.																	1432-7643	1433-7479															10.1007/s00500-020-05087-0		JUN 2020											
J								Artificial intelligent controller-based power quality improvement for microgrid integration of photovoltaic system using new cascade multilevel inverter	SOFT COMPUTING										Photovoltaic system; Artificial Intelligence; MPPT; Multilevel inverter; THD		Nowadays, grid-connected photovoltaic (PV) power system is quite popular in many countries. For grid-connected PV power system, to achieve maximum power and good power quality of the system are considered as big challenges. In order to achieve this, artificial intelligent (AI) controller-based maximum power point tracking (MPPT) algorithm has been investigated for PV system as well as a new cascade multilevel inverter (MLI) is proposed for grid integration of PV system. The proposed cascade MLI has been designed with a smaller number of power electronic switches and it can be operated at asynchronous voltage sources, which is most adaptable for PV system. This proposed inverter can reduce the total harmonic distortion (THD) at output side by means of increasing the output voltage level with this power quality of the system has been improved. The microgrid integration of proposed inverter has been controlled by using AI-based voltage source controller and this proposed system is designed and simulated in MATLAB environment at various weather conditions and loading conditions. Finally, prototype model has been developed in laboratory and evaluating its performance. The simulation results and prototype results were verified with IEEE 1547 standard that proves the proposed system effectiveness.																	1432-7643	1433-7479															10.1007/s00500-020-05120-2		JUN 2020											
