PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								Predicting the causative pathogen among children with osteomyelitis using Bayesian networks - improving antibiotic selection in clinical practice	ARTIFICIAL INTELLIGENCE IN MEDICINE										Bone infection; Infectious disease; Bayesian belief network; Clinical decision support; Causal diagram; Probabilistic graph model	DECISION-SUPPORT-SYSTEM; ANTIMICROBIAL TREATMENT; EXPERT KNOWLEDGE; KINGELLA-KINGAE; TREAT; THERAPY; DELPHI; MODEL; RISK	Infection of bone, osteomyelitis (OM), is a serious bacterial infection in children requiring urgent antibiotic therapy. While biological specimens are often obtained and cultured to guide antibiotic selection, culture results may take several days, are often falsely negative, and may be falsely positive because of contamination by non-causative bacteria. This poses a dilemma for clinicians when choosing the most suitable antibiotic. Selecting an antibiotic which is too narrow in spectrum risks treatment failure; selecting an antibiotic which is too broad risks toxicity and promotes antibiotic resistance. We have developed a Bayesian Network (BN) model that can be used to guide individually targeted antibiotic therapy at point-of-care, by predicting the most likely causative pathogen in children with OM and the antibiotic with optimal expected utility. The BN explicitly models the complex relationship between the unobserved infecting pathogen, observed culture results, and clinical and demographic variables, and integrates data with critical expert knowledge under a causal inference framework. Development of this tool resulted from a multidisciplinary approach, involving experts in infectious diseases, modelling, paediatrics, microbiology, computer science and statistics. The model-predicted prevalence of causative pathogens among children with osteomyelitis were 56 % for Staphylococcus aureus, 17 % for 'other' culturable bacteria (like Streptococcus pyogenes), and 27 % for bacterial pathogens that are not culturable using routine methods (like Kingella kingae). Log loss cross-validation suggests that the model performance is robust, with the best fit to culture results achieved when data and expert knowledge were combined during parameterisation. AUC values of 0.68 - 0.77 were achieved for predicting culture results of different types of specimens. BN-recommended antibiotics were rated optimal or adequate by experts in 82-98% of 81 cases sampled from the cohort. We have demonstrated the potential use of BNs in improving antibiotic selection for children with OM, which we believe to be generalisable in the development of a broader range of decision support tools. With appropriate validation, such tools might be effectively deployed for real-time clinical decision support, to promote a shift in clinical practice from generic to individually-targeted antibiotic therapy, and ultimately improve the management and outcomes for a range of serious bacterial infections.																	0933-3657	1873-2860				JUL	2020	107								101895	10.1016/j.artmed.2020.101895													
J								Learning an expandable EMR-based medical knowledge network to enhance clinical diagnosis	ARTIFICIAL INTELLIGENCE IN MEDICINE										Incremental expansion framework; Link prediction; Knowledge integration; Medical knowledge network; Disease diagnosis; Electronic medical record	LINK-PREDICTION; COMPLEX NETWORKS; HEALTH-CARE; MODEL	Electronic medical records (EMRs) contain a wealth of knowledge that can be used to assist doctors in making clinical decisions like disease diagnosis. Constructing a medical knowledge network (MKN) to link medical concepts in EMRs is an effective way to manage this knowledge. The quality of the diagnostic result made by MKN-based clinical decision support system depends on the accuracy of medical knowledge and the completeness of the network. However, collecting knowledge is a long-lasting and cumulative process, which means it's hard to construct a complete MKN with limited data. This study was conducted with the objective of developing an expandable EMR-based MKN to enhance capabilities in making an initial clinical diagnosis. A network of symptom-indicate-disease knowledge in 992 Chinese EMRs (CEMRs) was manually constructed as Original-MKN, and an incremental expansion framework was applied to it to obtain an expandable MKN based on new CEMRs. The framework was composed by: (1) integrating external knowledge extracted from the medical information websites and (2) mining potential knowledge with new EMRs. The framework also adopts a diagnosis-driven learning method to estimate the effectiveness of each knowledge in clinical practice. Experimental results indicate that our expanded MKN achieves a precision of 0.837 for a recall of 0.719 in clinical diagnosis, which outperforms Original-MKN and four classical machine learning methods. Furthermore, both external medical knowledge and potential medical knowledge benefit MKN expansion and disease diagnosis. The proposed incremental expansion framework sustains the MKN learning new knowledge.																	0933-3657	1873-2860				JUL	2020	107								101927	10.1016/j.artmed.2020.101927													
J								Automated hematoma segmentation and outcome prediction for patients with traumatic brain injury	ARTIFICIAL INTELLIGENCE IN MEDICINE										Traumatic brain injury; Hematoma segmentation; Outcome prediction; Convolutional neural network; Deep learning	INTRACEREBRAL HEMORRHAGE; VOLUME; MANAGEMENT; DIAGNOSIS	Traumatic brain injury (TBI) is a major cause of death and disability worldwide. Automated brain hematoma segmentation and outcome prediction for patients with TBI can effectively facilitate patient management. In this study, we propose a novel Multi-view convolutional neural network with a mixed loss to segment total acute hematoma on head CT scans collected within 24h after the injury. Based on the automated segmentation, the volumetric distribution and shape characteristics of the hematoma were extracted and combined with other clinical observations to predict 6-month mortality. The proposed hematoma segmentation network achieved an average Dice coefficient of 0.697 and an intraclass correlation coefficient of 0.966 between the volumes estimated from the predicted hematoma segmentation and volumes of the annotated hematoma segmentation on the test set. Compared with other published methods, the proposed method has the most accurate segmentation performance and volume estimation. For 6-month mortality prediction, the model achieved an average area under the precision-recall curve (AUCPR) of 0.559 and area under the receiver operating characteristic curve (AUC) of 0.853 using 10-fold cross-validation on a dataset consisting of 828 patients. The average AUCPR and AUC of the proposed model are respectively more than 10% and 5% higher than those of the widely used IMPACT model.																	0933-3657	1873-2860				JUL	2020	107								101910	10.1016/j.artmed.2020.101910													
J								Breast ultrasound region of interest detection and lesion localisation	ARTIFICIAL INTELLIGENCE IN MEDICINE										Breast ultrasound; Breast cancer; Object detection; Region of interests	DEFORMABLE PART MODELS; COMPUTERIZED DETECTION; CANCER DETECTION; SEGMENTATION; CLASSIFICATION; MAMMOGRAPHY; IMAGES	In current breast ultrasound computer aided diagnosis systems, the radiologist preselects a region of interest (ROI) as an input for computerised breast ultrasound image analysis. This task is time consuming and there is inconsistency among human experts. Researchers attempting to automate the process of obtaining the ROIs have been relying on image processing and conventional machine learning methods. We propose the use of a deep learning method for breast ultrasound ROI detection and lesion localisation. We use the most accurate object detection deep learning framework - Faster-RCNN with Inception-ResNet-v2 - as our deep learning network. Due to the lack of datasets, we use transfer learning and propose a new 3-channel artificial RGB method to improve the overall performance. We evaluate and compare the performance of our proposed methods on two datasets (namely, Dataset A and Dataset B), i.e. within individual datasets and composite dataset. We report the lesion detection results with two types of analysis: (1) detected point (centre of the segmented region or the detected bounding box) and (2) Intersection over Union (IoU). Our results demonstrate that the proposed methods achieved comparable results on detected point but with notable improvement on IoU. In addition, our proposed 3-channel artificial RGB method improves the recall of Dataset A. Finally, we outline some future directions for the research.																	0933-3657	1873-2860				JUL	2020	107								101880	10.1016/j.artmed.2020.101880													
J								Integrative blockwise sparse analysis for tissue characterization and classification	ARTIFICIAL INTELLIGENCE IN MEDICINE										Sparse representation; Ensemble classifiers; Computer-aided diagnosis	CONVOLUTIONAL NEURAL-NETWORKS; FRAMEWORK; DATABASE; CANCER; PQCT	The topic of sparse representation of samples in high dimensional spaces has attracted growing interest during the past decade. In this work, we develop sparse representation-based methods for classification of clinical imaging patterns into healthy and diseased states. We propose a spatial block decomposition method to address irregularities of the approximation problem and to build an ensemble of classifiers that we expect to yield more accurate numerical solutions than conventional sparse analyses of the complete spatial domain of the images. We introduce two classification decision strategies based on maximum a posteriori probability (BBMAP), or a log likelihood function (BBLL) and an approach to adjusting the classification decision criteria. To evaluate the performance of the proposed approach we used cross-validation techniques on imaging datasets with disease class labels. We first applied the proposed approach to diagnosis of osteoporosis using bone radiographs. In this problem we assume that changes in trabecular bone connectivity can be captured by intensity patterns. The second application domain is separation of breast lesions into benign and malignant categories in mammograms. The object classes in both of these applications are not linearly separable, and the classification accuracy may depend on the lesion size in the second application. Our results indicate that the proposed integrative sparse analysis addresses the ill-posedness of the approximation problem and produces very good class separation for trabecular bone characterization and for breast lesion characterization. Our approach yields higher classification rates than conventional sparse classification and previously published convolutional neural networks (CNNs) that we fine-tuned for our datasets, or utilized for feature extraction. The BBLL technique also produced higher classification rates than learners using hand-crafted texture features, and the Bag of Keypoints, which is a sophisticated patch-based method. Furthermore, our comparative experiments showed that the BBLL function may yield more accurate classification than BBMAP, because BBLL accounts for possible estimation bias.																	0933-3657	1873-2860				JUL	2020	107								101885	10.1016/j.artmed.2020.101885													
J								Preserving User Privacy for Machine Learning: Local Differential Privacy or Federated Machine Learning?	IEEE INTELLIGENT SYSTEMS												The growing number of mobile and IoT devices has nourished many intelligent applications. In order to produce high-quality machine learning models, they constantly access and collect rich personal data such as photos, browsing history, and text messages. However, direct access to personal data has raised increasing public concerns about privacy risks and security breaches. To address these concerns, there are two emerging solutions to privacy-preserving machine learning, namely local differential privacy and federated machine learning. The former is a distributed data collection strategy where each client perturbs data locally before submitting to the server, whereas the latter is a distributed machine learning strategy to train models on mobile devices locally and merge their output (e.g., parameter updates of a model) through a control protocol. In this article, we conduct a comparative study on the efficiency and privacy of both solutions. Our results show that in a standard population and domain setting, both can achieve an optimal misclassification rate lower than 20% and federated machine learning generally performs better at the cost of higher client CPU usage. Nonetheless, local differential privacy can benefit more from a larger client population (> 1k). As for privacy guarantee, local differential privacy also has flexible control over the data leakage.																	1541-1672	1941-1294				JUL-AUG	2020	35	4					5	14		10.1109/MIS.2020.3010335													
J								Joint Intelligence Ranking by Federated Multiplicative Update	IEEE INTELLIGENT SYSTEMS												The joint intelligence ranking of intelligent systems like autonomous driving is of great importance for building a more general, extensive, and universally accepted intelligence evaluation scheme. However, due to issues such as privacy security and industry or area competition, the integration of isolated test results may face large unimaginable difficulty in information security and encrypted model training. To address this, we derive the federated multiplicative update (FMU) algorithm with boundary constraints to solve the nonnegative matrix factorization based joint intelligence ranking. The encrypted learning process is developed to alternate original computation steps in multiplicative update algorithms. Owning feasible property for the fast convergence and secure exchange of variables, the proposed framework outperforms the previous work on both real and simulated data. Further experimental analysis reveals that the introduced federated mechanism does not harm the overall time efficiency.																	1541-1672	1941-1294				JUL-AUG	2020	35	4					15	24		10.1109/MIS.2020.3006734													
J								Distributed Privacy-Preserving Iterative Summation Protocols	IEEE INTELLIGENT SYSTEMS												In this article, we study the problem of summation evaluation of secrets. The secrets are distributed over a network of nodes that form a ring graph. Privacy-preserving iterative protocols for computing the sum of the secrets are proposed, which are resilient against dynamic node join and leave situations. Theoretic bounds are derived regarding the utility and accuracy, and the proposed protocols are shown to comply with differential privacy requirements. Based on utility, accuracy, and privacy, we also provide guidance on appropriate selections of random noise parameters. Additionally, a few numerical examples that demonstrate their effectiveness and superiority are provided.																	1541-1672	1941-1294				JUL-AUG	2020	35	4					25	36		10.1109/MIS.2020.3006081													
J								SMSS: Secure Member Selection Strategy in Federated Learning	IEEE INTELLIGENT SYSTEMS												Data security and user privacy-issue have become an important field. As federated learning (FL) could solve the problems from data security and privacy-issue, it starts to be applied in many different applied machine learning tasks. However, FL does not verify the quality of the data from different parties in the system. Hence, the low-quality datasets with fewer common entities can be cotrained with others. This could result in a huge amount of computing-resources waste, and the attack on the FL model from malicious clients as federal members. To solve this problem, this article proposes a secure member selection strategy (SMSS), which can evaluate the data qualities of members before training. With SMSS, only datasets share more common entities than a certain threshold can be selected for learning, whereas malicious clients with fewer common objects cannot acquire any information about the model. This article implements SMSS, and evaluate its performance via several extensive experiments. Experimental results demonstrate that SMSS is safe, efficient, and effective.																	1541-1672	1941-1294				JUL-AUG	2020	35	4					37	49		10.1109/MIS.2020.3007207													
J								Federated Generative Privacy	IEEE INTELLIGENT SYSTEMS												We propose FedGP, a framework for privacy-preserving data release in the federated learning setting. We use generative adversarial networks, generator components of which are trained by FedAvg algorithm, to draw private artificial data samples and empirically assess the risk of information disclosure. Our experiments show that FedGP is able to generate labeled data of high quality to successfully train and validate supervised models. Finally, we demonstrate that our approach significantly reduces vulnerability of such models to model inversion attacks.																	1541-1672	1941-1294				JUL-AUG	2020	35	4					50	57		10.1109/MIS.2020.2993966													
