PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								Genetic algorithm-based fuzzy clustering applied to multivariate time series	EVOLUTIONARY INTELLIGENCE										Genetic algorithm; Fuzzy-C-Means; Multivariate time series; Fault detection; Tennessee Eastman process	C-MEANS; PREDICTION	Despite the fact that the fuzzy clustering of time series based on genetic algorithm (GA) is mostly used in applications involving univariate time series, this paper presents an approach based on GA and Fuzzy C-Means (FCM) for clustering multivariate time series. Each chromosome is an individual or solution which encodes the clusters' centroids (patterns) and a bi-criterion constrained clustering is proposed to maximize both the similarity of objects in the same cluster (based on the SPCA metric) and the distance between the centers of the clusters. The proposed method is applied in two case studies involving a real industrial case which comprises pattern recognition for detecting operation failures in a gas turbine and a well-known benchmark industrial system (Tennessee Eastman process) used to evaluate techniques for detecting and diagnosing failures. The proposed approach was able to obtain better classification results compared to FCM based on classical optimization methods.																	1864-5909	1864-5917															10.1007/s12065-020-00422-8		MAY 2020											
J								Factor relation analysis for sustainable recycling partner evaluation using probabilistic linguistic DEMATEL	FUZZY OPTIMIZATION AND DECISION MAKING										DEMATEL; PLTS; Sustainable recycling partner evaluation; GWOWA	TERM SETS; FUZZY; AGGREGATION	Evaluating and selecting suitable sustainable recycling partners is a key work in sustainable supply chain management. In order to deal with the probabilistic linguistic influence relations between criteria and obtain the key factors that influence the evaluation results of sustainable recycling partners, we propose a new decision-making trial and evaluation laboratory (DEMATEL) method. First, we propose a new generalized weighted ordered weighted averaging (GWOWA) operator and discuss its properties. Second, we use probabilistic linguistic term sets (PLTSs) to aggregate the experts' hesitant fuzzy linguistic decision-making information and develop a novel method of transforming PLTSs into triangular fuzzy numbers (TFNs) based on the proposed GWOWA operator and the characteristics of PLTSs. Furthermore, we propose a method of making criteria relation analysis based on DEMATEL with TFNs. With the method, we not only access the importance weights of criteria but also obtain the influence relation among the criteria and cluster the criteria into two groups: cause group and effect group. Finally, we apply our method to a real case of sustainable recycling partner selection.																	1568-4539	1573-2908															10.1007/s10700-020-09326-9		MAY 2020											
J								Optimal day-ahead scheduling of autonomous operation for the hybrid micro-grid including PV, WT, diesel generator, and pump as turbine system	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										Hybrid micro-grid; Optimal autonomous operation; Pump as turbine; Photovoltaic; Wind turbine; Diesel generator	IMPERIALIST COMPETITIVE ALGORITHM; OPTIMIZATION ALGORITHM; POWER-GENERATION; STORAGE; DESIGN; PERFORMANCE; MANAGEMENT; WIND/PV; COST	A diesel generator can be used in joint with sustainable energy sources such as wind turbine, photovoltaic which develop an ideal option for autonomous power generation in islanded mode. However, the stochastic inherent of irradiation and wind speed as well as the variable load demand prevent these generation systems from being totally reliable without suitable energy storage system. However, considering other research works show a pump as turbine system is used more less as energy storage in the agricultural industry and isolated rural micro-grid. Also, practical constraints of pump as turbine system may be challenging not considered in the later papers. Hence, this paper intends to present an optimal operation and energy management method for a hybrid micro-grid, including photovoltaic, wind turbine, pump as turbine system, and diesel generator, with study on day-ahead scheduling. The optimal energy management minimize the fuel cost of diesel generator, daily operating cost as well as the balance between generation and load for both warm and cold days. In this paper, imperialist competitive algorithm, which is not commonly used in the applications above, is used because of its high convergence rate and accuracy. To verify proposed method, results are compared to artificial bee colony and particle swarm optimization to determine the optimal diesel generator generation, pumped storage operating mode, pumping and turbine real power. The simulation results show the effectiveness and improvement of the TSA compared to other works.																	1868-5137	1868-5145															10.1007/s12652-020-02114-8		MAY 2020											
J								Cooperative flow regulation protocol for real-time and non-real-time applications over satellite network	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										Satellite; Real-time; Non-real-time; Fairness; Congestion; Error	FAIRNESS	In current times, the intensity of Internet usage has been on a relentless rise, in pace with the release of numerous real-time applications like video transmission and non-real-time applications. Due to high error channels, the end-users will observe poor quality video over satellite network. The applications are competing themselves to inject their traffic into the network and hence end users get unfair shares of the bandwidth for the video transmissions. Also, the high transmission rate of video applications affects traditional Internet applications like e-mail. TCP-friendly rate control (TFRC), TFRC-satellite and multiple TFRC streams (MulTFRC), which are intended to provide congestion control, error control and increase bandwidth (BW) utilization respectively, may fail over the satellite networks with high error rate and high congestion. Besides, these connection-oriented protocols increase the applications overhead. In this paper, we present a cooperative flow regulation protocol (CFR), which provides fair access to both real-time and non-real-time applications, over networks with high congestion and high error. Verification of the proffered approach, by simulations, show that the CFR protocol reduces the loss of video frames by 30-40%, compared to DCCP and MulTFRC, and 50-60% compared to user datagram protocol (UDP) traffic, without compromise of the video quality.																	1868-5137	1868-5145															10.1007/s12652-020-02115-7		MAY 2020											
J								Preclinical diagnosis of asthma with GMR sensor and RADWT algorithm	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										Asthma; RADWT; Subband energy; Mucus; Lung; Airway constriction	MUCUS HYPERSECRETION	Asthma, a chronic lung disease which causes severe problem in breathing. The asthma cause due to lung airway constriction by triggers, such as allergic reactions to dust or pollen. The asthma never diagnose at early stage since symptoms such as coughing confuse with cold. The Asthma only diagnose when shortness of breath occur and it causes an examination by a physician. In this paper, we propose a non-invasive way to diagnose asthma at early stage via bio magnetic signal acquired from a person lung. The mucus in airway of lung clogs airway during constriction. The Giant magnetoresistance (GMR) sensor place on lung region and bio-magnetic emission from mucus in lung acquire. The biomagnetic signal of mucus in lung constricted airway change due to mucus normal and dynamic condition. The constricted lung airway cure by Ventolin entolin inhaler, which makes constricted muscle to relax and provide airflow. The mucus accumulation and mucus flow provide varying bio-magnetic emission. The bio-magnetic emission change correlate with asthma through RADWT subband energy level. The RADWT subband energy level and airflow meter test model with linear regression for lung airway opening and asthma diagnosis.																	1868-5137	1868-5145															10.1007/s12652-020-01966-4		MAY 2020											
J								Enhanced F-OFDM candidate for 5G applications	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING										4G; 5G; CP-OFDM; FBMC; Filter design; Filtered-OFDM (f-OFDM); Time-frequency localization; UFMC; UF-OFDM	SYSTEM; CHALLENGES; NETWORKS; DESIGN; WILL; PAPR	The demand for high data rate, the generation of Internet of Things (IoT), and various Machine Type Communications (MTC) emerged for a new transmission phenomenon. In other words, it is substantial to communicate without synchronization, or synchronization overhead, with mixed signal types. such specifications cannot be covered by the Fourth Generation (4G) systems, which is based on Cyclic Prefix Orthogonal Frequency Division Multiplexing (CP-OFDM). However, to achieve the specifications of the next generation system, numerous waveform replacements for the CP-OFDM were suggested, Filter Bank Multi-Carrier (FBMC), Generalized Frequency Division Multiplexing (GFDM), Universal Filtered Multi-Carrier (UFMC), and Filtered OFDM (F-OFDM). The filter design occupies essential part in these replacements, thus, in this paper, novel filters are introduced where simulation results show that the proposed filters outperform previous designs in terms of spectral efficiency improved dramatically by releasing the synchronization overhead.																	1868-5137	1868-5145															10.1007/s12652-020-02046-3		MAY 2020											
J								Survival neural networks for time-to-event prediction in longitudinal study	KNOWLEDGE AND INFORMATION SYSTEMS										Time-to-event prediction; Longitudinal study; Survival neural network; Classification probability; Time-dependent covariate	COX REGRESSION-MODELS; NONPARAMETRIC-ESTIMATION; VARIABLE SELECTION; COEFFICIENTS	Time-to-event prediction has been an important practical task for longitudinal studies in many fields such as manufacturing, medicine, and healthcare. While most of the conventional survival analysis approaches suffer from the presence of censored failures and statistically circumscribed assumptions, few attempts have been made to develop survival learning machines that explore the underlying relationship between repeated measures of covariates and failure-free survival probability. This requires a purely dynamic-data-driven prediction approach, free of survival models or statistical assumptions. To this end, we propose two real-time survival networks: a time-dependent survival neural network (TSNN) with a feed-forward architecture and a recurrent survival neural network (RSNN) incorporating long short-term memory units. The TSNN additively estimates a latent failure risk arising from the repeated measures and performs multiple binary classifications to generate prognostics of survival probability, while the RSNN with time-dependent input covariates implicitly estimates the relation between these covariates and the survival probability. We propose a novel survival learning criterion to train the neural networks by minimizing the censoring Kullback-Leibler divergence, which guarantees monotonicity of the resulting probability. Besides the failure-event AUC, C-index, and censoring Brier score, we redefine a survival time estimate to evaluate the performance of the competing models. Experiments on four datasets demonstrate the great promise of our approach in real applications.																	0219-1377	0219-3116				SEP	2020	62	9					3727	3751		10.1007/s10115-020-01472-1		MAY 2020											
J								An enhanced monarch butterfly optimization with self-adaptive crossover operator for unconstrained and constrained optimization problems	NATURAL COMPUTING										Monarch butterfly optimization; Migration operator; Butterfly adjusting operator; Crossover operator; Self-adaptive; Constrained optimization	CUCKOO SEARCH ALGORITHM; ARTIFICIAL BEE COLONY; KRILL HERD; EVOLUTIONARY ALGORITHMS; DIFFERENTIAL EVOLUTION; FIREFLY ALGORITHM; KNAPSACK-PROBLEMS; STRATEGIES; CRYPTANALYSIS; ENSEMBLE	Inspired by the phenomenon of migration of monarch butterflies, Wang et al. developed a novel promising swarm intelligence algorithm, called monarch butterfly optimization (MBO), for addressing unconstrained low-dimensional optimization problems. In this paper, we firstly extend the application area of the basic MBO to solve the constrained optimization problems. At the same time, the crossover operator originally used in evolutionary algorithms (EAs) is incorporated into the butterfly adjusting operator in order to strengthen the exploitation of the basic MBO algorithm. Furthermore, the crossover rate is self-adaptively adjusted according to the fitness of the corresponding individual instead of the fixed crossover rate used in EAs. For migration operator, only individuals having better fitness are accepted and passed to the next generation instead of accepting all the individuals in the basic MBO algorithm. After incorporated all the modifications into the basic MBO algorithm, an improved MBO algorithm with self-adaptive crossover namely SACMBO, is proposed for unstrained and constrained optimization problems. Finally, the proposed SACMBO algorithm is further used to solve 22 unstrained optimization problems (with dimension of 100, 300, 500, 1000, and 1500) and 28 constrained real-parameter optimization functions from CEC 2017 competition (with dimension of 50 and 100), respectively. The experimental results indicate that the proposed SACMBO algorithm outperforms the basic MBO and other five state-of-the-art metaheuristic algorithms.																	1567-7818	1572-9796															10.1007/s11047-020-09794-3		MAY 2020											
J								An image database of handwritten Bangla words with automatic benchmarking facilities for character segmentation algorithms	NEURAL COMPUTING & APPLICATIONS										Character segmentation; Handwritten word; Bangla script; Image database; Word recognition	RECOGNITION	Recognition of unconstrained handwritten word images is an interesting research problem which gets more challenging when lexicon-free words are considered. Prerequisite for developing a lexicon-free handwritten word recognition technique is the segmentation of a word image into its constituent character set. Therefore, a competent character segmentation technique is required to design a comprehensive word recognition module. However, the literature study reveals that there is no standard word image database with ground truth information. As a result, most character segmentation algorithms found in the literature rely on self-made databases with manual evaluation. To fill the research need, in the present scope of the work, a comprehensive database consisting of handwritten Bangla word images is prepared primarily for evaluating any character segmentation algorithms. Additionally, the present work also provides two types of ground truth images related to segmented character shapes of the word images. Besides, an evaluation tool is developed for assessing the performance of any character segmentation algorithm on the developed benchmark database. The benchmark result, as found here, is 0.9212 (F-score) which outperforms some state-of-the-art methods.																	0941-0643	1433-3058															10.1007/s00521-020-04981-w		MAY 2020											
J								A stacked ensemble learning model for intrusion detection in wireless network	NEURAL COMPUTING & APPLICATIONS										Network intrusion detection; Gradient boosting; Classification algorithms; Machine learning; Ensemble learning; Random forest tree	MACHINE	Intrusion detection pretended to be a major technique for revealing the attacks and guarantee the security on the network. As the data increases tremendously every year on the Internet, a single algorithm is not sufficient for the network security. Because, deploying a single learning approach may suffer from statistical, computational and representational issues. To eliminate these issues, this paper combines multiple machine learning algorithms called stacked ensemble learning, to detect the attacks in a better manner than conventional learning, where a single algorithm is used to identify the attacks. The stacked ensemble system has been taken the benchmark data set, NSL-KDD, to compare its performance with other popular machine learning algorithms such as ANN, CART, random forest, SVM and other machine learning methods proposed by researchers. The experimental results show that stacked ensemble learning is a proper technique for classifying attacks than other existing methods. And also, the proposed system shows better accuracy compare to other intrusion detection models.																	0941-0643	1433-3058															10.1007/s00521-020-04986-5		MAY 2020											
