PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J								Engineering fast multilevel support vector machines	MACHINE LEARNING										Classification; Support vector machine; Parameter fitting; Imbalanced learning; Hierarchical method; Multilevel method; PETSc	FEATURE-SELECTION; MODEL SELECTION; CLASSIFICATION; ALGORITHMS; PARAMETERS; CLASSIFIERS; LIBRARY; SEARCH	The computational complexity of solving nonlinear support vector machine (SVM) is prohibitive on large-scale data. In particular, this issue becomes very sensitive when the data represents additional difficulties such as highly imbalanced class sizes. Typically, nonlinear kernels produce significantly higher classification quality to linear kernels but introduce extra kernel and model parameters which requires computationally expensive fitting. This increases the quality but also reduces the performance dramatically. We introduce a generalized fast multilevel framework for regular and weighted SVM and discuss several versions of its algorithmic components that lead to a good trade-off between quality and time. Our framework is implemented using PETSc which allows an easy integration with scientific computing tasks. The experimental results demonstrate significant speed up compared to the state-of-the-art nonlinear SVM libraries.																	0885-6125	1573-0565				NOV	2019	108	11					1879	1917		10.1007/s10994-019-05800-7													
J								Asymptotically optimal algorithms for budgeted multiple play bandits	MACHINE LEARNING										Budgeted bandits; KL-UCB; Knapsack bandits; Multiple-play bandits; Thompson sampling	ALLOCATION	We study a generalization of the multi-armed bandit problem with multiple plays where there is a cost associated with pulling each arm and the agent has a budget at each time that dictates how much she can expect to spend. We derive an asymptotic regret lower bound for any uniformly efficient algorithm in our setting. We then study a variant of Thompson sampling for Bernoulli rewards and a variant of KL-UCB for both single-parameter exponential families and bounded, finitely supported rewards. We show these algorithms are asymptotically optimal, both in rate and leading problem-dependent constants, including in the thick margin setting where multiple arms fall on the decision boundary.																	0885-6125	1573-0565				NOV	2019	108	11					1919	1949		10.1007/s10994-019-05799-x													
J								Boosting as a kernel-based method	MACHINE LEARNING										Boosting; Weak learners; Kernel-based methods; Reproducing kernel Hilbert spaces; Robust estimation	MODEL SELECTION; REGRESSION; CLASSIFICATION; REGULARIZATION	Boosting combines weak (biased) learners to obtain effective learning algorithms for classification and prediction. In this paper, we showa connection between boosting and kernel-based methods, highlighting both theoretical and practical applications. In the l(2) context, we show that boosting with a weak learner defined by a kernel K is equivalent to estimation with a special boosting kernel. The number of boosting iterations can then be modeled as a continuous hyperparameter, and fit (along with other parameters) using standard techniques. We then generalize the boosting kernel to a broad new class of boosting approaches for general weak learners, including those based on the l(1), hinge and Vapnik losses. We develop fast hyperparameter tuning for this class, which has a wide range of applications including robust regression and classification. We illustrate several applications using synthetic and real data.																	0885-6125	1573-0565				NOV	2019	108	11					1951	1974		10.1007/s10994-019-05797-z													
J								Risk bound of transfer learning using parametric feature mapping and its application to sparse coding	MACHINE LEARNING										Transfer learning; Sparse coding; Risk bound	MODEL; LASSO	In this study, we consider a transfer-learning problem using the parameter transfer approach, in which a suitable parameter of feature mapping is learned through one task and applied to another objective task. We introduce the notion of local stability and parameter transfer learn-ability of parametric feature mapping, and derive an excess risk bound for parameter transfer algorithms. As an application of parameter transfer learning, we discuss the performance of sparse coding in self-taught learning. Although self-taught learning algorithms with a large volume of unlabeled data often show excellent empirical performance, their theoretical analysis has not yet been studied. In this paper, we also provide a theoretical excess risk bound for self-taught learning. In addition, we show that the results of numerical experiments agree with our theoretical analysis.																	0885-6125	1573-0565				NOV	2019	108	11					1975	2008		10.1007/s10994-019-05805-2													
J								A distributed feature selection scheme with partial information sharing	MACHINE LEARNING										Feature selection; Classification; Model selection; Distributed optimization; Parallel processing	PARALLEL FEATURE-SELECTION; FEATURE SUBSET-SELECTION; SWARM OPTIMIZATION; CLASSIFICATION; ALGORITHM	This paper introduces a novel feature selection and classification method, based on vertical data partitioning and a distributed searching architecture. The features are divided into subsets, each of which is associated to a dedicated processor that performs a local search. When all local selection processes are completed, each processor shares the features of its locally selected model with all other processors, and the local searches are repeated until convergence. Thanks to the vertical partitioning and the distributed selection scheme, the presented method is capable of addressing relatively large scale examples. The procedure is efficient since the local processors perform the selection tasks in parallel and on much smaller search spaces. Another important feature of the proposed method is its tendency to produce simple model structures, which is generally advantageous for the interpretability and robustness of the classifier. The proposed approach is evaluated and compared to other well-known feature selection and classification approaches proposed in the literature on several benchmark datasets. The obtained results demonstrate the effectiveness of the proposed approach, both in terms of classification accuracy and computational time.																	0885-6125	1573-0565				NOV	2019	108	11					2009	2034		10.1007/s10994-019-05809-y													
J								A Case-Based Reasoning Approach for the Cybersecurity Incident Recording and Resolution	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING										Cybersecurity; information security; case-based reasoning	MANAGEMENT	Intelligent computing techniques have a paramount importance to the treatment of cybersecurity incidents. In such Artificial Intelligence (AI) context, while most of the algorithms explored in the cybersecurity domain aim to present solutions to intrusion detection problems, these algorithms seldom approach the correction procedures that are explored in the resolution of cybersecurity incident problems that already took place. In practice, knowledge regarding cybersecurity resolution data and procedures is being under-used in the development of intelligent cybersecurity systems, sometimes even lost and not used at all. In this context, this work proposes the Case-based Cybersecurity Incident Resolution System (CCIRS), a system that implements an approach to integrate case-based reasoning (CBR) techniques and the IODEF standard in order to retain concrete problem-solving experiences of cybersecurity incident resolution to be reused in the resolution of new incidents. Different types of experimental results so far obtained with the CCIRS show that information security knowledge can be retained with our approach in a reusable memory improving the resolution of new cybersecurity problems.																	0218-1940	1793-6403				NOV-DEC	2019	29	11-12			SI		1607	1627		10.1142/S021819401940014X													
J								Using Bayesian Network to Estimate the Value of Decisions within the Context of Value-Based Software Engineering: A Multiple Case Study	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING										Value-based decision-making; software product and project management; Bayesian network; value estimation; value-based software engineering		Context: Companies must make a paradigm shift in which both short- and long-term value aspects are employed to guide their decision-making. Such need is pressing in innovative industries, such as ICT, and is the core of Value-based Software Engineering (VBSE). Objective: This paper details three case studies where value estimation models using Bayesian Network (BN) were built and validated. These estimation models were based upon value-based decisions made by key stakeholders in the contexts of feature selection, test cases execution prioritization, and user interfaces design selection. Methods: All three case studies were carried out according to a Framework called VALUE - improVing decision-mAking reLating to software-intensive prodUcts and sErvices development. This framework includes a mixed-methods approach, comprising several steps to build and validate company-specific value estimation models. Such a building process uses as input data key stakeholders' decisions (gathered using the Value tool), plus additional input from key stakeholders. Results: Three value estimation BN models were built and validated, and the feedback received from the participating stakeholders was very positive. Conclusions: We detail the building and validation of three value estimation BN models, using a combination of data from past decision-making meetings and also input from key stakeholders.																	0218-1940	1793-6403				NOV-DEC	2019	29	11-12			SI		1629	1671		10.1142/S0218194019400151													
J								Evaluation Techniques for Chatbot Usability: A Systematic Mapping Study	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING										Usability; chatbots; systematic mapping study; usability techniques	CONVERSATIONAL AGENT	Background: The use of chatbots has increased considerably in recent years. These are used in different areas and by a wide variety of users. Due to this fact, it is essential to incorporate usability in their development. Aim: Our objective is to identify the state-of-the-art in chatbot usability and applied human-computer interaction techniques, to analyze how to evaluate chatbot usability. Method: We have conducted a systematic mapping study, by searching the main scientific databases. The search retrieved 170 references and 21 articles were retained as primary studies. Results: The works were categorized according to four criteria: usability techniques, usability characteristics, research methods and type of chatbots. Conclusions: Chatbot usability is still a very incipient field of research where the published studies are mainly surveys, usability tests, and rather informal experimental studies. Hence, it becomes necessary to perform more formal experiments to measure user experience, and exploit these results to provide usability-aware design guidelines.																	0218-1940	1793-6403				NOV-DEC	2019	29	11-12			SI		1673	1702		10.1142/S0218194019400163													
J								Exposing IoT Objects in the Internet Using the Resource Management Architecture	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING										IoT; embedded systems; sensors		This paper proposes an architecture for sharing IoT Objects' resources in the Internet of Things providing a model for its owners to expose devices, which can be consumed by clients inspired by the Sensor-as-a-Service model. The main idea relies on the fact that users, such as developers and researchers, do not always have access to the necessary hardware and resources. Exposing devices in IoT should impact these persons activities. Then, we present the Resource Management Architecture, where several IoT Objects endowed with sensors and actuators can be added to environments that are represented virtually in the architecture. The IoT Objects become available to be consumed by users through the use of applications. The architecture is composed of three layers: one representing devices, the cloud solution, and applications, and how they interact with each other. We also present a study case for testing the whole approach in a smart city scenario.																	0218-1940	1793-6403				NOV-DEC	2019	29	11-12			SI		1703	1725		10.1142/S0218194019400175													
J								Multistep Flow Prediction on Car-Sharing Systems: A Multi-Graph Convolutional Neural Network with Attention Mechanism	INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING										Car-sharing systems; multistepflow prediction; graph convolution network		Multistep flow prediction is an essential task for the car-sharing systems. An accurate flow prediction model can help system operators to pre-allocate the cars to meet the demand of users. However, this task is challenging due to the complex spatial and temporal relations among stations. Existing works only considered temporal relations (e.g. using LSTM) or spatial relations (e.g. using CNN) independently. In this paper, we propose an attention to multi-graph convolutional sequence-to-sequence model (AMGC-Seq2Seq), which is a novel deep learning model for multistep flow prediction. The proposed model uses the encoder-decoder architecture, wherein the encoder part, spatial and temporal relations are encoded simultaneously. Then the encoded information is passed to the decoder to generate multistep outputs. In this work, specific multiple graphs are constructed to reflect spatial relations from different aspects, and we model them by using the proposed multi-graph convolution. Attention mechanism is also used to capture the important relations from previous information. Experiments on a large-scale real-world car-sharing dataset demonstrate the effectiveness of our approach over state-of-the-art methods.																	0218-1940	1793-6403				NOV-DEC	2019	29	11-12			SI		1727	1740		10.1142/S0218194019400187													
